uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
b01773b8-8888-401a-baa7-bf579517fef6,316122877,2025-09-23 13:10:00-06:00,2025-09-23,-105.4697845788,44.2150724833,1464.0,,8.3,22.8,0.0,10.4,,1025.3,Leucocoprinus birnbaumii,"Campbell County, US-WY, US",1
2e3123ed-0cc4-43d8-8701-ff9c28304f7f,315807125,2025-09-22 07:59:33-06:00,2025-09-22,-105.0531899671,39.7264746255,1636.0,,12.7,21.7,6.3,14.0,,1010.2,Leucocoprinus birnbaumii,"Sheridan Blvd, Denver, CO, US",1
046eeb75-555d-4164-9720-281b817bb0f7,384726878,2026-07-16 16:08:12-06:00,2026-07-16,-105.0977388333,40.5648283333,1532.0,,17.2,34.4,0.0,8.3,,1011.3,Leucocoprinus birnbaumii,"Heritage Cir, Fort Collins, CO, US",1
b1e4c16b-6623-4237-8055-290b9113d654,384690119,2026-07-24 15:43:14-06:00,2026-07-24,-109.4696441,41.530072,1868.0,,10.2,32.3,0.0,5.8,,,Leucocoprinus birnbaumii,"Sweetwater County Courthouse (Call for pick-up), Green River, WY 82935, USA",1
4575cfff-2d3e-45b1-afc7-bf3a65ac1d8a,384156447,2026-07-22 22:51:38-06:00,2026-07-22,-105.0731070712,39.8598615147,1671.0,,20.0,33.0,4.2,6.3,,,Leucocoprinus birnbaumii,"Harlan St & W 91st Ave, Westminster, CO 80031, USA",1
ced3fe6f-329b-4bee-968d-d265bd1f7751,365497557,2026-05-21 11:08:38-06:00,2026-05-21,-105.0712509155,39.7085762024,1670.0,,4.9,18.5,,11.2,,1012.1,Leucocoprinus birnbaumii,Lakewood,1
14febbe9-2cf9-4ae1-815a-c194aad92960,360090634,2025-07-09 08:00:00-06:00,2025-07-09,-105.1477383679,39.992370695,1665.0,,15.0,38.0,0.0,4.9,,1020.3,Leucocoprinus birnbaumii,"Louisville, CO, US",1
e7e4f11a-366e-45b8-994e-c52d85932521,333015816,2025-08-30 07:42:21-06:00,2025-08-30,-107.7513849914,38.1703555324,2165.0,,7.0,19.0,1.9,8.9,,1031.7,Leucocoprinus birnbaumii,"Riversage Dr, Ridgway, CO, US",1
d746f0a1-62c3-4a2c-bb39-b81de52faa05,328576175,2024-03-08 06:59:39-07:00,2024-03-08,-103.5438321903,37.9850056164,1246.0,,-1.7,2.8,,17.7,,1021.7,Leucocoprinus birnbaumii,"La Junta, La Junta, CO 81050, USA",1
dc327a72-2568-4054-b7c2-5a4a7662ffbd,310054656,2025-08-29 14:27:38-06:00,2025-08-29,-104.8423384429,39.4265549193,1955.0,,14.0,27.0,5.8,10.4,,1023.3,Leucocoprinus birnbaumii,"Colorado, US",1
8d5f5947-7126-45f3-87f6-4b4d1dd98ebe,309555841,2025-08-27 13:05:26-06:00,2025-08-27,-105.1008111111,39.5454611111,1682.0,,14.0,26.0,7.8,10.6,,1022.8,Leucocoprinus birnbaumii,"Chatfield Bluffs, Littleton, CO, USA",2
aad8f7fe-51b8-4741-92a6-bb4fd71035ca,309008269,2023-06-17 08:36:00-06:00,2023-06-17,-103.8564085,44.0140443,2049.0,,3.9,20.6,0.0,9.6,,1012.6,Leucocoprinus birnbaumii,"Pennington County, US-SD, US",1
82c17121-c788-4eac-b4d3-10645ea6900e,305534776,2025-08-11 08:38:43-06:00,2025-08-11,-105.0829614522,39.7459025421,1668.0,,13.0,28.0,0.7,9.7,,1022.8,Leucocoprinus birnbaumii,"Colorado, US",2
5844dc2d-80c2-41ef-a022-a2419cbf7be5,301254911,2025-07-26 11:01:26-06:00,2025-07-26,-105.0828018188,40.2023239136,1540.0,,13.5,34.8,0.0,6.1,,1017.9,Leucocoprinus birnbaumii,Longmont,1
158aaf31-fedd-41f6-96ff-4134e4797ee5,300739221,2025-07-24 12:24:15-06:00,2025-07-24,-104.5808485576,38.271255608,1435.0,,15.0,31.1,20.3,10.4,,1016.1,Leucocoprinus birnbaumii,"E Fourth St, Pueblo, CO, US",1
dd9f9843-1eef-49ef-a422-5627d9d0b1f2,300249003,2025-07-22 16:13:44-06:00,2025-07-22,-104.5809033333,38.271205,1435.0,,18.9,36.7,0.8,14.8,,1006.5,Leucocoprinus birnbaumii,"E Fourth St, Pueblo, CO, US",1
f15725a4-82ac-458d-aeac-0c24096cfb31,297766622,2025-07-13 18:51:25-06:00,2025-07-13,-104.7520001,38.9242198,2046.0,,11.4,30.5,0.0,12.3,,1015.3,Leucocoprinus birnbaumii,"Colorado Springs, CO 80918, USA",1
d1faeee4-9609-4476-a883-2f75d71f36a1,292534988,2025-06-18 12:24:35-06:00,2025-06-18,-105.7477961302,36.5052997858,2132.0,,11.9,30.6,0.0,14.1,,1013.1,Leucocoprinus birnbaumii,"Taos County, US-NM, US",1
305bac51-765e-497c-a79b-b154e52334f1,279710089,2024-08-12 12:51:09-06:00,2024-08-12,-103.6333682667,41.8590417551,1185.0,,12.8,27.2,0.0,15.5,,1015.8,Leucocoprinus birnbaumii,"Scottsbluff NE Sinclair E Overland, East Winters Creek, NE 69361, USA",2
7c740813-de52-4c3f-9c7b-90b677be7952,268825850,2025-04-05 00:49:44-06:00,2025-04-05,-105.0807549473,39.6957048042,1691.0,,-2.7,5.1,0.0,9.1,,1029.2,Leucocoprinus birnbaumii,"Colorado, US",3
6e600bc5-723e-461c-b796-aa0dae042c07,249646100,2024-10-29 10:17:39-06:00,2024-10-29,-105.1661216367,40.1334641193,1550.0,,3.2,13.4,2.3,8.4,,1005.6,Leucocoprinus birnbaumii,"Colorado, US",1
689e648e-b873-4ed9-add5-bc8bef4c5f84,238108537,2024-08-26 11:33:51-06:00,2024-08-26,-104.7955783333,39.5762033333,1739.0,,15.6,29.4,,10.7,,1019.4,Leucocoprinus birnbaumii,"S Parker Rd, Centennial, CO, US",2
50571ae1-2bda-4be6-90f6-7f1a72a4df14,238008258,2024-08-25 22:06:48-06:00,2024-08-25,-105.0755191316,40.452144756,1546.0,,16.7,32.2,0.6,12.8,,1015.7,Leucocoprinus birnbaumii,"Austrian Pine Ln, Loveland, CO, US",2
bc147e86-bff3-4ebc-a75e-9c4f7541f94c,234448192,2024-08-07 20:12:18-06:00,2024-08-07,-105.0015666667,39.6117533333,1660.0,,19.4,32.2,0.0,15.3,,1013.4,Leucocoprinus birnbaumii,"Littleton, CO 80120, USA",2
