uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
aced9c6b-d902-4724-9bd3-47dbd2910b1f,321904345,2025-10-19 11:44:39-06:00,2025-10-19,-106.6315890745,35.8751386173,2360.0,,6.0,19.0,0.0,7.1,,1025.6,Leucopaxillus gentianeus,"Sandoval County, US-NM, US",2
0373e35f-88a7-4a41-b597-2625ad9bc9df,317131239,2025-09-27 11:12:15-06:00,2025-09-27,-106.5778646974,35.8156898826,2498.0,,12.0,17.0,0.5,9.2,,1024.2,Leucopaxillus gentianeus,"Sandoval County, US-NM, US",1
cb425f1b-073b-4625-8074-8ae4346f7396,315652135,2025-09-21 12:26:00-06:00,2025-09-21,-105.73324722,35.61905556,2420.0,,10.0,27.0,0.0,11.1,,1021.1,Leucopaxillus gentianeus,"Santa Fe, New Mexico, United States",1
03eab64a-2a5f-4b6d-a149-c4907352734b,307540817,2025-08-19 10:16:07-06:00,2025-08-19,-105.3489675745,39.6352726974,2243.0,,16.0,34.0,0.0,10.8,,1026.4,Leucopaxillus gentianeus,"Evergreen West Central, CO 80439, USA",1
1f519e1b-5368-4bd1-993d-6f35b6f61aef,292729014,2025-06-25 13:50:00-06:00,2025-06-25,-104.9883436205,38.7204531696,3068.0,,13.5,24.6,3.0,9.9,,1017.7,Leucopaxillus gentianeus,"Colorado, US",2
0edc53b0-1380-4308-b860-4ee8857f6251,240546895,2024-09-04 14:21:25-06:00,2024-09-04,-105.2784416667,36.3791116667,2671.0,,0.5,25.3,0.2,4.9,,1032.3,Leucopaxillus gentianeus,"Angel Fire, NM, US",1
9ca308ce-9e14-4bca-b0a2-a338b0ecfa45,236213114,2024-08-16 14:25:35-06:00,2024-08-16,-107.89968,37.8144116667,3101.0,,12.0,25.0,0.0,11.9,,1033.2,Leucopaxillus gentianeus,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
4a8d7f63-6bab-43a1-a6cc-74794b6bf134,235533216,2024-08-12 10:56:00-06:00,2024-08-12,-106.7611083333,37.4879111111,2942.0,,5.0,13.0,4.0,11.7,,1039.4,Leucopaxillus gentianeus,"Mineral County, CO, USA",1
4f94a7b2-1a05-4ba8-97cc-4f255ddb5024,234232140,2024-08-05 15:20:27-06:00,2024-08-05,-106.6318274504,35.9890967615,2704.0,,18.7,30.4,0.3,9.7,,1027.3,Leucopaxillus gentianeus,"Sandoval County, US-NM, US",1
513ffa3a-8ce2-4cdb-8d24-b0b15c70b5c2,231343272,2024-07-23 17:20:56-06:00,2024-07-23,-107.59298,39.0876778333,2851.0,,7.5,20.8,0.0,9.2,,1019.3,Leucopaxillus gentianeus,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",1
b7ab9c7d-f5e4-49b0-9b2e-697a8076e1bb,178091431,2023-08-12 15:27:47-06:00,2023-08-12,-105.2404598061,39.7938938402,1873.0,,19.0,30.0,0.0,11.2,,1021.0,Leucopaxillus gentianeus,"Golden, CO, US",1
2a7f75bd-3651-4486-a008-b0e03a04d767,177905425,2023-08-11 10:24:48-06:00,2023-08-11,-107.8057164239,37.9222423313,2841.0,,10.0,22.0,0.4,7.7,,1031.2,Leucopaxillus gentianeus,"San Miguel County, US-CO, US",2
38e493b6-d798-4564-850c-3d5548a7dda6,174462270,2023-07-02 12:49:53-06:00,2023-07-02,-105.2842437194,39.758669474,2294.0,,14.0,30.0,0.3,10.0,,1019.3,Leucopaxillus gentianeus,"Colorado, US",1
c42d8943-61cc-421c-b7c8-6c341d81fb92,173460556,2023-07-14,2023-07-14,-105.0555640832,39.1785342099,2581.0,,13.7,26.8,1.5,17.5,,1012.4,Leucopaxillus gentianeus,"Sedalia, CO 80135, USA",1
ee28e0c8-ebef-401c-9545-21fe3ed94895,167976727,2023-06-17 13:34:01-06:00,2023-06-17,-108.3057940939,37.5960328753,2611.0,,9.0,25.0,3.2,11.9,,1020.6,Leucopaxillus gentianeus,"Montezuma County, US-CO, US",1
6b4a5065-cea9-4a86-898a-32b9d8e06324,146559703,2008-09-01 16:20:00-06:00,2008-09-01,-107.4600579,37.9349967,3171.0,,,,,6.3,,,Leucopaxillus gentianeus,"Grizzly Gulch, Colorado 81235, USA",1
f331648f-779c-43e6-a1a3-eebce932879f,135828515,2022-08-23 16:14:01-06:00,2022-08-23,-107.3428194818,37.3668943734,2325.0,,11.0,24.0,0.0,6.2,,1026.8,Leucopaxillus gentianeus,"Colorado, US",2
2bfe31d9-1f97-49fb-a620-9e29323f887d,133722279,2022-08-18 11:16:21-06:00,2022-08-18,-108.0074916667,37.773045,3062.0,,9.0,23.0,0.6,6.6,,1032.2,Leucopaxillus gentianeus,"San Juan National Forest - Headquarters, Dolores, CO, US",1
0b6f2994-6b69-40cd-bbab-8a76b2d27606,128531540,2022-07-28,2022-07-28,-105.3375,39.3422,2264.0,,7.6,16.4,10.8,5.3,,1020.7,Leucopaxillus gentianeus,"0.1 mi W of Meadows Group Campground on Redskin Rd., Jefferson County, US-CO, US",1
02a22e81-2438-4ec9-8bfd-cd4868c96254,86515396,2021-07-10 16:39:50-06:00,2021-07-10,-106.4113166667,38.8261966667,3742.0,,8.6,30.1,0.0,11.6,,1029.6,Leucopaxillus gentianeus,"Grand Mesa National Forest, Almont, CO, US",1
