uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
660cd9df-e67b-4e06-9f15-3ba07488f460,387031723,2026-07-31 11:02:21-06:00,2026-07-31,-105.7097248558,39.6344087754,3176.0,,6.0,16.0,0.5,9.4,,,Morchella snyderi,"Guanella Pass Rd, Idaho Springs, CO, US",1
c0cd537c-83f2-422a-a223-b823cdce851a,380483935,2026-07-11 11:11:29-06:00,2026-07-11,-106.2281277778,39.5488138889,3304.0,,8.0,18.0,0.0,7.4,,,Morchella snyderi,"Vail, CO 81657, USA",1
5350d6fc-2ab5-4d8e-a12f-430b4b0b92dc,374532939,2016-05-20 04:25:00-06:00,2016-05-20,-106.8591916667,38.8224816667,2688.0,,3.0,20.0,,10.5,,,Morchella snyderi,"Gunnison County, CO, USA",1
f58e9b1b-2b98-4344-96ad-6b2ee42226e8,373967637,2026-04-16 13:22:00-06:00,2026-04-16,-105.9712494567,35.6164035504,2058.0,,1.7,20.6,0.0,8.2,,1011.2,Morchella snyderi,"New Mexico, US",1
54309875-45e1-42f8-ac20-be9db163aa80,373966279,2026-04-14 07:34:00-06:00,2026-04-14,-105.8238182162,35.6375999156,2585.0,,6.1,16.1,0.2,9.2,,,Morchella snyderi,"New Mexico, US",1
0a62623b-faff-497e-86eb-7a1c9d091843,368647799,2026-05-24 09:50:27-06:00,2026-05-24,-105.5285112932,40.626725961,2422.0,,7.8,28.3,0.5,5.8,,,Morchella snyderi,"Bellvue, CO 80512, USA",1
8d07cf11-b75e-4c3e-9631-33b025fd235d,366214802,2026-05-25 16:02:58-06:00,2026-05-25,-106.4366533333,39.5409383333,2687.0,,-3.3,12.0,1.3,9.8,,1015.8,Morchella snyderi,"Cross Creek Trail, Eagle, CO, US",1
31e45d67-ebfe-444e-a19b-21abdef6f28c,363068808,2026-05-08 14:41:30-06:00,2026-05-08,-106.10369756,38.5702696725,2334.0,,2.5,22.9,0.0,6.3,,,Morchella snyderi,"Colorado, US",1
abd8e5cc-25cd-4c1d-a510-116ca9967201,357807135,2026-04-27 17:10:48-06:00,2026-04-27,-105.8572083333,35.7441,2527.0,,5.1,18.9,0.0,17.5,,1009.6,Morchella snyderi,"Chamisa Trail, Santa Fe, NM, US",3
c56995a2-d54f-45b2-a558-a53933820e5c,314177380,2025-07-04 15:12:32-06:00,2025-07-04,-105.7854040199,35.8043039789,3307.0,,13.3,31.1,0.0,11.7,,1012.2,Morchella snyderi,"Santa Fe County, US-NM, US",2
2fa8e61d-254a-4c7c-9b1e-8ed1ad4b5572,290230286,2025-06-01 11:00:00-06:00,2025-06-01,-105.9661911238,35.6106117498,2074.0,,13.9,31.7,0.3,13.2,,1008.9,Morchella snyderi,"New Mexico, US",1
7b6242e1-c0f7-43d6-982a-ccfd66783158,288467553,2025-06-08 13:16:42-06:00,2025-06-08,-106.2480300142,39.0261410229,2754.0,,0.6,19.4,0.0,13.1,,1014.0,Morchella snyderi,"Colorado, US",1
8d066094-f633-4682-8ce1-9df4120cd92d,288039015,2025-06-08 13:06:57-06:00,2025-06-08,-106.1260833333,39.6325033333,2928.0,,7.0,13.0,1.8,22.3,,1033.8,Morchella snyderi,"Gore Range Trail, Silverthorne, CO, US",1
