uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
df1df67f-7790-444b-9e02-d26ebc9fbea9,373986231,2026-06-08 10:49:00-06:00,2026-06-08,-105.9115148752,35.7044101572,2251.0,,10.6,31.7,0.0,7.2,,,Morchella norvegiensis,"New Mexico, US",1,
4ce0bacb-1570-42a1-9c9c-d25c2f19d6e1,298745445,2025-07-15 11:51:00-06:00,2025-07-15,-105.9870778117,35.8302485931,1899.0,,14.4,32.8,0.0,13.5,,1011.1,Morchella norvegiensis,"New Mexico, US",1,
3f709a2b-0325-405a-a1b4-1fcf05db130e,297137618,2025-07-10 12:05:00-06:00,2025-07-10,-105.8449338122,35.677541497,2632.0,,19.4,37.2,0.0,15.2,,1008.6,Morchella norvegiensis,"New Mexico, US",1,
b9b77a13-3277-4efe-a1cd-9ad8902fce29,222934259,2024-06-15 11:10:55-06:00,2024-06-15,-106.1620397754,38.5025348205,2885.0,,8.9,28.4,0.0,13.7,,1019.3,Morchella norvegiensis,"Colorado, US",2,
ef440936-bc6f-4336-87ee-bf3272265613,179421102,2023-04-03 10:14:52-07:00,2023-04-03,-122.2432416667,45.4470166667,114.0,,2.8,10.0,,7.0,,1018.9,Morchella norvegiensis,"Sandy, OR, US",2,
1880d22b-316f-4734-bd31-c8dd885b62e2,123914464,2022-06-28 13:06:04-07:00,2022-06-28,-121.6876027778,45.2363583333,1317.0,,13.5,23.3,0.0,15.1,,1017.8,Morchella norvegiensis,"TIMBRLINE LDG, OR 97028, USA",3,
26f2c411-2722-438d-bdf8-f4a50577413e,118406579,2022-05-23 11:42:35-07:00,2022-05-23,-122.23068756,45.31131299,395.0,,13.3,21.7,0.0,6.2,,1022.0,Morchella norvegiensis,"Clackamas County, US-OR, US",2,
8620018a-691d-4f2b-a5b2-3dfbcc48e5e7,112619435,2022-04-23 11:04:43-07:00,2022-04-23,-122.2967553929,45.3358308619,293.0,,5.0,18.3,0.0,3.9,,1026.4,Morchella norvegiensis,"Clackamas County, US-OR, US",5,
11cd8ecf-d14e-4a0a-97af-f41babaae8a5,112612272,2022-04-23 13:23:53-07:00,2022-04-23,-122.2699104453,45.2525010611,404.0,,5.0,18.3,0.0,3.9,,1026.4,Morchella norvegiensis,"Clackamas County, US-OR, US",2,
0223715a-9cfc-445c-af4b-8355f551cf53,277856495,2025-04-30 14:08:05-07:00,2025-04-30,-122.3187025264,45.1829700634,569.0,,5.0,18.9,0.0,5.7,,1022.3,Morchella norvegiensis,"Colton, OR 97017, USA",1,84QV5MMJ+
4c872f6e-79b9-4a12-be9e-c8535a944dda,277855355,2025-04-30 14:37:38-07:00,2025-04-30,-122.3182861134,45.1816899158,569.0,,5.0,18.9,0.0,5.7,,1022.3,Morchella norvegiensis,"Colton, OR 97017, USA",1,84QV5MJJ+
917623d2-ea82-40a4-ba42-fd07cb0d4274,271109824,2025-04-17 14:56:36-07:00,2025-04-17,-122.3191642016,45.1851732109,536.0,,7.2,21.1,0.0,14.5,,1018.4,Morchella norvegiensis,"Colton, OR 97017, USA",1,84QV5MPJ+
861fcca0-5870-4983-8bc1-2f0d65544476,160792438,2023-05-09 12:42:35-07:00,2023-05-09,-122.3785166667,45.24735,350.0,,7.2,18.3,0.0,4.8,,1019.5,Morchella norvegiensis,"Beavercreek, OR, US",2,84QV6JWC+
88a2135e-40e0-4ed6-9d9d-67d54dc2ab33,116615665,2022-05-11 14:36:49-07:00,2022-05-11,-122.3783582806,45.2472658293,350.0,,6.1,15.6,0.0,7.4,,1024.4,Morchella norvegiensis,"Beavercreek, OR, US",1,84QV6JWC+
2af8e775-2b4b-40dc-bd59-d4722f459967,112008746,2022-04-17 12:10:00-07:00,2022-04-17,-122.3244563719,45.1135164325,847.0,,1.1,13.3,0.0,3.8,,1022.3,Morchella norvegiensis,"Clackamas County, US-OR, US",1,84QV4M7G+
fc9c16d8-f4eb-45f9-8b6b-7d123562682b,112008393,2022-04-17 12:10:15-07:00,2022-04-17,-122.2455996286,45.1275632557,889.0,,1.1,13.3,0.0,3.8,,1022.3,Morchella norvegiensis,"Clackamas County, US-OR, US",1,84QV4QH3+
