uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
9b2383a8-7f2c-4990-b704-f6ddaababede,306563230,2025-08-15 11:32:45-06:00,2025-08-15,-107.8232633333,37.8553383333,2983.0,,11.0,21.0,6.4,5.8,,1031.4,Mycena haematopus,"Ophir, CO, US",3
f0542a60-8cbe-4925-b090-0526f9f7b4ec,229816752,2024-07-16 17:57:08-06:00,2024-07-16,-107.5501289516,38.2463764123,2747.0,,16.7,31.7,0.0,12.1,,1014.4,Mycena haematopus,"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",3
8237b4a0-26c1-4e65-982e-5fc4ed90bb18,229813912,2024-07-16 15:42:02-06:00,2024-07-16,-107.5409083333,38.24578,2706.0,,16.7,31.7,0.0,12.1,,1014.4,Mycena haematopus,"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",1
6738c755-b5cb-4895-8251-2a2a7136efcc,132362808,2022-08-21 10:36:42-06:00,2022-08-21,-107.8379200771,37.9311044643,3076.0,,9.0,17.0,1.7,4.5,,1031.4,Mycena haematopus,"Mountain Village, CO, USA",1
cdd2f61d-f634-4036-b84c-60ead23e3d09,3550420,2014-08-18,2014-08-18,-108.0575,37.8831,2900.0,,,,,7.5,,,Mycena haematopus,"Woods Lake, San Juan Co., Colorado, USA",2
e2aa7ee0-2b0e-444c-9a5e-d74adc93eff0,387773024,2019-05-26 12:55:10-07:00,2019-05-26,-121.9404666667,45.334145,820.0,,10.0,23.3,0.0,2.7,,1010.0,Mycena haematopus,"Hunchback Trail, Rhododendron, OR, US",1
8e9a8afa-08e0-4ed8-b2c1-82f9990e1102,366833987,2026-05-30 14:26:59-07:00,2026-05-30,-121.99073,45.34962,383.0,,5.6,19.4,0.0,4.2,,,Mycena haematopus,"Welches, OR, US",1
647160e4-5741-467b-8b5d-74d1a65d80ed,349918164,2026-04-14 14:28:00-07:00,2026-04-14,-122.2269687734,45.3071832211,370.0,,7.2,11.1,0.6,8.3,,,Mycena haematopus,"Clackamas County, OR, USA",1
b981e582-d474-44f5-8a7f-5e73142030ec,320387053,2025-10-11 12:37:11-07:00,2025-10-11,-122.0378721667,45.383145,314.0,,10.0,14.0,2.2,6.4,,1014.0,Mycena haematopus,"E Barlow Trail Rd, Sandy, OR, US",1
cbd0df08-031b-4e83-99b2-7c786f37d999,311142216,2025-09-02 15:44:00-07:00,2025-09-02,-122.2253071119,45.3055676021,383.0,,13.0,32.0,0.0,6.8,,1015.4,Mycena haematopus,"Clackamas County, OR, USA",1
f3ddb106-bdf0-48a3-8cb2-2f74a78c0a08,303433157,2024-09-22 14:56:09-07:00,2024-09-22,-121.7857589722,45.4120025635,1303.0,,10.6,26.4,0.0,10.2,,1018.2,Mycena haematopus,Rhododendron,1
7e6c6087-6ab6-4cba-92d2-46ec5634311c,296136044,2025-06-28 10:11:06-07:00,2025-06-28,-121.7905116667,45.414178343,1310.0,,12.0,27.0,0.0,2.2,,1019.8,Mycena haematopus,"Mt. Hood National Forest, Rhododendron, OR, US",1
c91d5369-0e47-4edc-b1ae-a566a094708e,278193371,2025-05-02 14:46:27-07:00,2025-05-02,-122.1177598494,45.3951780479,380.0,,8.3,23.3,0.0,7.6,,1014.0,Mycena haematopus,"E Marmot Rd, Sandy, OR, US",2
04dc0076-e32e-470e-9fcf-0fb4e8c298e7,275291433,2025-04-27 12:42:00-07:00,2025-04-27,-121.9405666667,45.2964055556,469.0,,7.2,15.0,0.0,6.4,,1019.1,Mycena haematopus,"Clackamas County, OR, USA",1
6050c47e-6448-4303-9250-6603a1c0f6a3,268614092,2025-04-04 12:32:22-07:00,2025-04-04,-122.0167482,45.3762302,356.0,,1.1,19.4,0.0,11.8,,1026.1,Mycena haematopus,"E Rufus Ridge Ln, Brightwood, OR, US",1
bc108b7c-0a58-469b-87a4-c40c9d69c1cb,256116800,2024-12-15 12:09:49-08:00,2024-12-15,-121.9925154,45.3490583,382.0,,5.0,9.4,,12.5,,1021.5,Mycena haematopus,"Welches, OR 97067, USA",1
a0abdd42-573e-4005-8b2d-d21eebbc1e07,250175283,2024-11-01 13:32:18-07:00,2024-11-01,-122.3105258051,45.328294797,141.0,,9.4,12.2,,10.2,,1005.5,Mycena haematopus,"Estacada, OR, US",1
46e2f89e-8fca-433d-bf89-892bc61b4c91,249002059,2024-10-19 15:15:44-07:00,2024-10-19,-122.290293,45.503126,146.0,,12.2,22.8,,5.8,,1023.4,Mycena haematopus,"Corbett, OR 97019, USA",1
d565ac9d-9309-4e1e-bdab-70677651d0d4,248406368,2024-10-20 15:29:04-07:00,2024-10-20,-121.93908,45.2979783333,484.0,,8.3,21.1,,8.3,,1015.5,Mycena haematopus,"Zigzag Ranger Station, Welches, OR, US",1
3b0a6c93-9381-4f69-9a74-2ca809313139,248184839,2024-10-19 15:15:43-07:00,2024-10-19,-122.2882349,45.4890297,40.0,,12.2,22.8,,5.8,,1023.4,Mycena haematopus,"Multnomah County, OR, USA",1
2a82e664-0fc7-49e6-b342-bfb0075872c4,246054301,2024-10-05 17:46:28-07:00,2024-10-05,-122.2895638077,45.4952630669,63.0,,11.1,22.8,0.0,3.4,,1021.6,Mycena haematopus,"Oxbow Regional Park, Corbett, OR, US",1
dc59f96f-c361-4023-9082-b4c099dc5736,237736753,2024-08-23 10:41:41-07:00,2024-08-23,-122.2984175997,45.4881267,80.0,,13.9,20.0,,7.0,,1010.6,Mycena haematopus,"Gresham, OR 97080, USA",1
242ca70e-4368-4f96-8fd7-c56b011822a9,237553976,2024-08-23 15:31:00-07:00,2024-08-23,-122.2248089051,45.3052380675,366.0,,13.9,20.0,,7.0,,1010.6,Mycena haematopus,"Clackamas County, OR, USA",1
553f6962-dded-423f-9f65-cf98ab15db9f,189301320,2023-10-28 13:28:53-07:00,2023-10-28,-122.1072515137,45.2993459273,514.0,,3.9,12.2,0.0,19.5,,1031.7,Mycena haematopus,"Zigzag Ranger Station, Sandy, OR, US",1
