uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
84cc2fc7-4db1-4896-9106-96884b50bfac,321916146,2025-10-19 10:51:46-06:00,2025-10-19,-106.6318726824,35.8761210191,2360.0,,6.0,19.0,0.0,7.1,,1025.6,Laccaria laccata,"Sandoval County, US-NM, US",1,
0a85d0b7-fb17-4622-a6c5-87b41f6e4b76,315911033,2025-09-22 11:25:47-06:00,2025-09-22,-105.8066045024,39.4829214771,3015.0,,-2.6,8.6,4.3,11.7,,1017.1,Laccaria laccata,"Grant, CO, US",2,
2638d239-c045-42cd-9b30-3264b9fd72d8,315910832,2025-09-22 11:15:28-06:00,2025-09-22,-105.8065593837,39.4829362205,3015.0,,-2.6,8.6,4.3,11.7,,1017.1,Laccaria laccata,"Park County, US-CO, US",2,
e0f21dbe-6609-44d3-96b6-79b78d4a8b61,388639507,2026-08-05 11:10:52-06:00,2026-08-05,-105.7192483997,39.6082453,3389.0,,5.0,16.0,0.0,18.5,,,Laccaria laccata,"Dillon, CO 80435, USA",1,
259981bf-c62d-40d9-a857-316cacc4b52b,387791519,2026-08-01 12:35:46-06:00,2026-08-01,-110.8388450128,40.6332537698,3161.0,,,,,,,,Laccaria laccata,"Utah, US",1,
745ebd42-9456-4628-ab0b-18d6e6f99470,380938025,2026-07-12 11:37:06-06:00,2026-07-12,-105.7096633333,39.6366366667,3155.0,,9.0,17.0,0.0,12.4,,,Laccaria laccata,"Guanella Pass Rd, Idaho Springs, CO, US",1,
4b367c4b-cdf1-4558-8cb8-06023b47e1ad,360121192,2025-07-03 07:33:16-06:00,2025-07-03,-105.0918666667,39.1176083333,2351.0,,10.8,30.0,0.0,15.8,,1008.8,Laccaria laccata,"Woodland Park, CO, US",1,
99e54317-dfd1-4207-bcdf-5c5f1169ac65,310302161,2025-08-30 11:23:47-06:00,2025-08-30,-105.4980453997,39.6911855,3162.0,,-1.4,7.2,1.5,11.0,,1025.0,Laccaria laccata,"Idaho Springs, CO 80452, USA",1,
10b0e841-0e32-4cef-8335-00a8651cd8f4,244733829,2024-06-30 12:55:11-06:00,2024-06-30,-105.836695,35.73022,2567.0,,16.7,29.4,,18.1,,1017.0,Laccaria laccata,"Hyde Memorial State Park, Tererro, NM, US",1,
d546af8b-fe45-426b-9f34-0cf7d42164d9,242503007,2024-09-15 11:04:21-06:00,2024-09-15,-105.8013516,35.7982511,3208.0,,12.2,28.3,0.0,16.2,,1010.8,Laccaria laccata,"Ski Santa Fe, New Mexico 87506, USA",1,
044bffaf-dad9-4832-ab40-84b0cc0f139a,241968629,2024-08-25 23:11:44-06:00,2024-08-25,-105.8589577047,39.7642009042,3301.0,,1.5,12.8,5.8,10.8,,1025.0,Laccaria laccata,"Butler Gulch Trail, Silver Plume, CO, US",1,
1745fe4f-cb4f-4b15-a404-fedc45a109d1,238517954,2024-08-28 13:33:17-06:00,2024-08-28,-105.7477587768,35.786053968,3285.0,,12.8,27.2,,13.2,,1016.5,Laccaria laccata,"Santa Fe National Forest, Tererro, NM, US",1,
b28b618d-4960-4fb4-b422-e05f4d24a6eb,237585210,2024-08-23 17:43:25-06:00,2024-08-23,-105.4168166667,39.2722633333,3005.0,,5.3,18.5,0.3,14.2,,1017.9,Laccaria laccata,"Pike and San Isabel National Forests, Hartsel, CO, US",1,
dcda16af-0caf-4df7-a95f-71e4e410f5fc,235757689,2024-08-13 11:27:56-06:00,2024-08-13,-106.562125,35.8744133333,3379.0,,15.7,27.9,,7.4,,1026.0,Laccaria laccata,"Valles Caldera National Preserve, Jemez Springs, NM, US",1,
448e51e2-2f13-4643-863b-9a74b7612346,235624210,2024-08-13 11:28:36-06:00,2024-08-13,-106.5621833333,35.8744083333,3379.0,,15.7,27.9,,7.4,,1026.0,Laccaria laccata,"Valles Caldera National Preserve, Sandoval County, US-NM, US",1,
b3347a36-aec6-4738-bb20-1bf9888caa80,233601725,2024-08-03 12:57:11-06:00,2024-08-03,-105.7854833333,35.8066633333,3252.0,,15.6,33.9,,10.6,,1016.2,Laccaria laccata,"Santa Fe National Forest, Tererro, NM, US",1,
0ac13837-0251-4480-a57e-e20dfd92003b,226048176,2024-06-28 16:32:41-06:00,2024-06-28,-106.5128769474,35.8222085386,2643.0,,13.4,27.2,1.6,5.4,,1021.3,Laccaria laccata,"Sandoval County, US-NM, US",1,
