uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
5d09149e-5b18-46ac-ab07-84cdc0ba325a,393657666,2026-08-15 14:10:58-06:00,2026-08-15,-109.2695494972,42.7158127028,2948.0,,7.0,20.0,1.0,4.9,,,Boletus edulis,"Sublette County, US-WY, US",1
aa032664-97b3-41e1-b491-35e65ecd69bb,391336686,2026-08-14 09:45:35-06:00,2026-08-14,-108.0256853967,37.7852294596,3125.0,,10.0,19.0,4.5,2.8,,,Boletus edulis,"Dolores County, US-CO, US",1
76654c03-fa38-46e4-bddd-382103eb0aff,390677895,2026-08-08 14:11:24-06:00,2026-08-08,-106.536955,35.82107,2575.0,,16.7,31.2,6.0,7.8,,,Boletus edulis,"Jemez National Recreation Area, Jemez Springs, NM, US",1
491470e8-2897-4ade-84ca-1a009137f4aa,389918803,2026-08-09 15:05:48-06:00,2026-08-09,-110.8000817206,40.7506403044,3005.0,,,,,,,,Boletus edulis,"Utah, US",2
7e16f3c3-5b89-4bc9-ad35-775c2d3c5577,389419757,2026-08-08 09:38:36-06:00,2026-08-08,-105.8535380289,39.7007031701,3130.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus edulis,"Clear Creek County, US-CO, US",1
d9081dc6-8aa0-40c6-ade5-fdd19dd7ac1f,389378203,2026-08-07 08:48:54-06:00,2026-08-07,-106.1670041681,39.700491728,2945.0,,10.0,20.0,0.0,4.7,,1020.3,Boletus edulis,"Summit County, US-CO, US",1
c944698d-c778-44c3-a52f-f76350fe6cb3,389133398,2026-08-07 11:41:30-06:00,2026-08-07,-110.6627235987,40.5146151572,3115.0,,17.0,37.0,0.0,7.0,,1014.3,Boletus edulis,"Utah, US",1
d98903d8-8288-4efd-adb8-e4c6b31b85a5,388774074,2026-08-04 20:06:07-06:00,2026-08-04,-110.6740533561,40.7461957259,3334.0,,,,,,,,Boletus edulis,"Bear River, WY 82930, USA",2
c32ef880-b0f4-40cc-af78-d58686ff1823,388641182,2026-08-02 14:22:33-06:00,2026-08-02,-109.2607333333,42.6958716667,2823.0,,16.3,30.2,0.0,21.4,,1010.5,Boletus edulis,"Big Sandy Trail, Boulder, WY, US",2
d161cc4f-f421-4be7-9f05-1f5b90ac4bbe,388028029,2026-08-02 19:13:00-06:00,2026-08-02,-109.8175542997,40.775764,3349.0,,15.0,35.0,0.0,3.8,,,Boletus edulis,"Vernal, UT 84078, USA",1
773ddbf4-2db3-4cc0-a1a3-25f0fc9a3fa7,387757829,2026-08-02 15:45:06-06:00,2026-08-02,-110.8131884794,40.7196646107,3201.0,,,,,,,,Boletus edulis,"Utah, US",1
6d5d7f11-f3dd-4ae0-8e26-27111f5a074a,387757703,2026-08-02 15:39:32-06:00,2026-08-02,-110.8324568371,40.6487275331,3269.0,,,,,,,,Boletus edulis,"Utah, US",1
36c19139-5802-42a5-873e-3cfde7a5234e,244429785,2024-09-13 14:49:35-06:00,2024-09-13,-107.9744979722,39.0574769722,3364.0,,11.7,26.9,0.0,13.2,,1010.4,Boletus edulis,"Cedaredge, CO 81413, USA",1
59edbf51-a402-4cce-a1fa-a4b9dae6b2a5,237630514,2024-08-23 08:50:05-06:00,2024-08-23,-109.5394626704,40.7742741147,2729.0,,13.9,25.6,,9.2,,1014.1,Boletus edulis,"Utah, US",1
8feeaae7-3e82-4229-a733-e47ce47617ee,237389735,2024-08-22 13:44:12-06:00,2024-08-22,-109.5977946254,40.7135383778,2742.0,,16.7,26.7,,7.9,,1015.2,Boletus edulis,"Utah, US",1
21d8c306-4690-475a-9ae0-8f4190eceeb1,228838671,2024-07-11 16:05:50-06:00,2024-07-11,-106.1824963792,36.6897245283,2811.0,,,,,,,,Boletus edulis,"Carson National Forest, Tierra Amarilla, NM, US",2
d2ae5d3b-1187-401f-bfca-f4c51917d5d8,202012843,2019-08-31 11:23:00-06:00,2019-08-31,-110.7970383679,40.6452302378,3036.0,,,,,,,,Boletus edulis,"Duchesne County, UT, USA",1
c1578ac0-9e13-4197-8c13-a56d54d2f36b,180624881,2023-08-27 15:44:20-06:00,2023-08-27,-109.9562,40.6796111111,3203.0,,16.4,33.1,0.0,12.9,,1015.0,Boletus edulis,"Naples, UT 84078, USA",1
9a4e0076-0676-4cc2-8f01-456a372e5639,175122483,2023-07-23 09:11:34-06:00,2023-07-23,-109.7294083333,40.85832,2328.0,,15.6,32.8,,12.0,,1015.0,Boletus edulis,"Ashley National Forest, Dutch John, UT, US",2
c3742dde-192c-47d7-88fe-f0198abf242a,136353588,2022-09-24 17:13:53-06:00,2022-09-24,-105.8407897949,40.2116088867,2566.0,,-2.0,20.3,0.0,7.4,,1031.5,Boletus edulis,"Rocky Mountain, Rocky Mountain National Park, Grand County, US-CO, US",1
ddc7c1a7-3c1a-4c82-acdb-7ea4a2ce6f72,131666324,2022-08-20 15:05:04-06:00,2022-08-20,-108.8964216667,42.7051416667,2633.0,,12.8,29.4,0.0,10.4,,1013.7,Boletus edulis,"Shoshone National Forest, Lander, WY, US",1
db459cfe-a298-47a3-add7-c78ad137e0a0,127173734,2022-07-19 14:45:50-06:00,2022-07-19,-105.3620320997,39.5803214997,2403.0,,7.1,15.5,4.6,12.1,,1021.6,Boletus edulis,"Shadow Mountain, CO, USA",1
03fd6cdb-a1bd-477b-a104-ef7e16b3cc6d,105326815,2021-07-19 19:29:00+00:00,2021-07-19,-106.2035586658,38.5743311016,2744.0,,13.0,30.1,0.0,9.9,,1034.8,Boletus edulis,"Chaffee County, CO, USA",1
06bfb5ca-da01-4d38-a842-a18fd07b988f,92987415,2021-08-29 11:15:32-06:00,2021-08-29,-105.8780966667,39.720425,3446.0,,2.5,17.6,0.0,8.6,,1017.9,Boletus edulis,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Idaho Springs, CO, US",1
c4fb5f89-cb19-4166-8e2e-1e13333ac8f4,91647242,2021-08-16 08:08:00-06:00,2021-08-16,-109.9100326937,40.7460352122,3280.0,,15.0,32.2,0.0,6.5,,1011.0,Boletus edulis,"Utah, US",3
434a16c9-534c-457f-beeb-8f098926a560,90465188,2021-08-08 10:55:13-06:00,2021-08-08,-105.4770584106,39.6951522827,2831.0,,16.0,33.0,0.0,7.7,,1016.9,Boletus edulis,"Clear Creek County, US-CO, US",1
8a6768ab-b9ef-4d1a-9570-78e0a70189d1,89155232,2021-07-29 16:20:04-06:00,2021-07-29,-109.9797769722,40.8424479722,3251.0,,,,,,,,Boletus edulis,"Daggett County, UT, USA",1
97933351-9e2e-4dc2-a8b0-4e1a7e10a51c,88932812,2021-07-27 09:13:46-06:00,2021-07-27,-105.643975,40.2926633333,3038.0,,5.6,29.3,0.0,6.0,,1030.4,Boletus edulis,"Rocky Mountain National Park, Estes Park, CO, US",1
04b31a6b-ac89-4009-a7c0-c2174702404f,73625437,2020-08-22 09:43:31-06:00,2020-08-22,-109.9790040472,40.7352605795,3219.0,,9.4,35.6,0.0,,,,Boletus edulis,"Utah, US",1
3a49cfd5-2efe-4ec9-9aea-ab48ca4b13bf,55414173,2020-08-03 10:52:51-06:00,2020-08-03,-109.19068,42.73713333,3059.0,,15.6,32.8,0.0,10.1,,1011.4,Boletus edulis,"Bridger-Teton National Forest, Boulder, WY, US",2
fbe018fc-9d32-47ea-a13c-cc7ecb32bc3a,40349155,2018-08-16,2018-08-16,-107.836,37.9421,2652.0,,11.0,23.0,,6.2,,,Boletus edulis,"Telluride, Colorado, USA",1
475b36bc-cd14-4b08-98ee-c454e88b732b,30667438,2019-08-11 16:02:11-06:00,2019-08-11,-105.500548,40.151211,2781.0,,18.0,28.2,,5.8,,,Boletus edulis,"Boulder County, Co.",1
3b7b11d2-9c7e-47e6-81e4-5b2b258220d6,29437919,2019-07-23 12:45:42-06:00,2019-07-23,-108.0627059937,39.0043411255,3257.0,,19.0,36.5,,7.1,,,Boletus edulis,"Eckert, CO 81418, USA",2
ea386073-de68-418b-a4ae-49e20f0883c1,7605016,2017-08-18 14:44:05-06:00,2017-08-18,-105.608901,39.881159,3035.0,,2.0,25.5,,8.1,,,Boletus edulis,"County Road 4-n, in pine plantation, near Mammoth Gulch.",2
bf0f2ede-7962-4e2d-82c5-cb30a93f8e60,7498416,2017-07-29 19:41:33-05:00,2017-07-29,-110.3727583333,40.81385,3403.0,,,,,,,,Boletus edulis,"Wasatch-Cache National Forest, Kamas, UT, US",3
52690d86-2afc-420b-b164-13ce0298f715,7310186,2017-07-31 16:58:53-06:00,2017-07-31,-110.8151791903,40.7775204968,3379.0,,,,,,,,Boletus edulis,"Utah, US",1
fbacd96b-549d-4735-8382-adc0c07f1989,1806600,2015-07-26 11:08:55-06:00,2015-07-26,-106.1655502319,39.0673446655,3412.0,,3.3,18.3,,4.4,,1014.6,Boletus edulis,"Park County, US-CO, US",1
0c3960dd-6d97-4233-9e39-c849c10b88ae,393876419,2026-08-23 11:03:20-07:00,2026-08-23,-121.7373891807,45.268108751,1112.0,,17.0,26.0,0.0,7.6,,,Boletus edulis,"Trillium Lake Loop, Government Camp, OR, US",1
35f78244-1c9d-4529-9686-99471345e569,387781071,2026-08-02 14:13:18-07:00,2026-08-02,-121.6857878091,45.3045439503,1426.0,,12.0,23.0,0.0,3.3,,1020.8,Boletus edulis,"Oregon, US",1
501a86d1-dc61-4b1b-a324-df71913010c5,386962969,2026-07-12 13:02:00-07:00,2026-07-12,-121.6262444444,45.3141833333,1320.0,,15.0,28.0,0.0,4.7,,1017.5,Boletus edulis,"Hood River County, OR, USA",2
1cc99e6b-8a1f-40d4-819a-24440b6d884a,386152685,2026-07-28 19:31:19-07:00,2026-07-28,-121.7378309369,45.2884018301,1139.0,,16.0,27.0,0.0,3.0,,,Boletus edulis,"TIMBERLINE LODGE, OR 97028, USA",1
6fbc5757-544f-4235-92de-be91e65acd3c,384823317,2026-07-16 15:00:12-07:00,2026-07-16,-121.7913230949,45.2856108907,1434.0,,16.0,21.0,1.2,4.8,,,Boletus edulis,"Oregon, US",1
c7acf657-e525-4e2f-9b47-a67f6105810e,383775341,2026-07-21 15:49:37-07:00,2026-07-21,-121.6549538683,45.3268359252,1583.0,,14.0,38.0,0.0,0.7,,,Boletus edulis,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
b745fbab-f452-451a-b907-622a2e763a10,381091171,2026-07-12 13:43:04-07:00,2026-07-12,-121.6698094223,45.3812983166,2308.0,,15.0,28.0,0.0,4.7,,1017.5,Boletus edulis,"Oregon, US",1
379bd9bf-20a2-47a2-8704-e182a9771f09,327070053,2025-10-10 16:33:09-07:00,2025-10-10,-121.5867916667,45.3286166667,1184.0,,8.0,15.0,0.5,1.9,,,Boletus edulis,"OR-35, Mount Hood Parkdale, OR, US",1
66284333-4b85-4fbe-b8bf-b56e07232156,323002929,2025-10-11 14:04:24-07:00,2025-10-11,-121.7566145873,45.3336020875,1413.0,,8.0,13.0,1.2,2.2,,,Boletus edulis,"Government Camp, OR, US",1
09b98a12-cbef-472b-87ca-bce6679300c1,322316698,2025-10-21 12:39:22-07:00,2025-10-21,-121.752823,45.3021255,1196.0,,3.0,17.0,0.0,0.4,,1021.3,Boletus edulis,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
88111ca6-0d6d-4256-b0cb-5110ec9c4cd5,321744246,2025-10-18 10:39:15-07:00,2025-10-18,-121.6200366158,45.3641374741,1567.0,,2.0,17.0,0.0,1.5,,1018.8,Boletus edulis,"Oregon, US",1
91ea500f-9c06-4f3e-96d5-4f29ca77d742,320986436,2025-10-08 14:27:30-07:00,2025-10-08,-122.0034523207,45.6503636908,620.0,,11.7,16.1,0.0,3.0,,1010.8,Boletus edulis,Hamilton Moutain Trail ,4
4ee18061-9bdc-4c2c-9b81-cf9e6a21c631,320877893,2025-10-13 09:00:00-07:00,2025-10-13,-122.0323688988,45.4075006242,811.0,,3.0,16.0,0.0,10.2,,1010.0,Boletus edulis,"Oregon, US",1
5e5edc65-ed07-4020-a3fe-c550f35c0dc3,319013320,2025-10-05 13:35:47-07:00,2025-10-05,-121.77997,45.4055466667,1305.0,,5.0,21.0,0.0,2.2,,1020.1,Boletus edulis,"Top Spur Trail, Rhododendron, OR, US",1
ebcd3540-0e1a-428d-bb7e-d0948c00e1e8,318464935,2025-09-28 14:00:42-07:00,2025-09-28,-121.5792,45.1450111667,936.0,,,,,,,,Boletus edulis,"Mt. Hood National Forest, Maupin, OR, US",1
3aa6d646-cb4b-474d-86bb-71583ba84125,317161739,2025-09-27 09:36:42-07:00,2025-09-27,-121.7534236237,45.3047615006,1207.0,,6.0,26.0,0.0,1.1,,1010.9,Boletus edulis,"Government Camp, OR 97028, USA",1
abc802e1-1834-4d2b-81f6-5c85d88ca335,315659725,2025-09-21 11:41:00-07:00,2025-09-21,-121.54063626,45.70593666,138.0,,13.0,20.0,0.2,6.4,,1015.3,Boletus edulis,"Hood River, OR 97031, USA",2
7ce3ffa1-627a-41de-9dd5-c5e464ef36f6,312569878,2025-08-26 18:13:00-07:00,2025-08-26,-121.7795350221,45.2803056176,1281.0,,19.1,34.8,0.0,5.2,,1011.6,Boletus edulis,"Oregon, US",1
f85f1290-0bc3-49ec-a44b-69557af47c0f,310404863,2025-08-30 10:01:28-07:00,2025-08-30,-121.7376033333,45.396805,1588.0,,12.0,30.0,0.0,2.2,,1016.9,Boletus edulis,"Timberline Trail, Mount Hood Parkdale, OR, US",1
4eca76b4-d7b1-4046-a804-2a424876a366,310352578,2025-08-30 15:43:18-07:00,2025-08-30,-121.657455,45.3272533333,1605.0,,12.0,30.0,0.0,2.2,,1016.9,Boletus edulis,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
df87a93c-1e67-45e1-8269-10c46943baad,310346140,2025-08-30 12:48:17-07:00,2025-08-30,-121.6565633333,45.3250466667,1588.0,,12.0,30.0,0.0,2.2,,1016.9,Boletus edulis,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
eaaf85c2-062d-4084-a69f-5e645f4aaf79,310345986,2025-08-30 12:46:53-07:00,2025-08-30,-121.6565383333,45.3250883333,1588.0,,12.0,30.0,0.0,2.2,,1016.9,Boletus edulis,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
06f7e362-82ef-49c7-9ba4-377831049449,310123585,2025-08-29 15:26:20-07:00,2025-08-29,-121.6742880804,45.3268716651,1722.0,,17.5,31.8,0.0,7.7,,1016.4,Boletus edulis,"Oregon, US",1
6634a0ab-78d4-4089-aff2-2e0b41d31568,310113868,2025-08-29 09:34:10-07:00,2025-08-29,-121.7243167997,45.4078864997,1657.0,,17.5,31.8,0.0,7.7,,1016.4,Boletus edulis,"Mt Hood, OR 97041, USA",1
15b91925-cec1-4267-8e3b-8365dd3a5d63,310094643,2025-08-29 14:02:58-07:00,2025-08-29,-121.7626823161,45.3754976553,1368.0,,17.5,31.8,0.0,7.7,,1016.4,Boletus edulis,"Zigzag Ranger Station, Government Camp, OR, US",2
1df5dcab-97cf-45d4-bf89-9cf5c889158a,310094028,2025-08-29 13:59:04-07:00,2025-08-29,-121.7816038758,45.3710650529,1180.0,,17.5,31.8,0.0,7.7,,1016.4,Boletus edulis,"Zigzag Ranger Station, Rhododendron, OR, US",1
