uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
8234c214-3e9f-4b47-b18b-a57275e52fee,393694819,2026-08-16 13:46:24-06:00,2026-08-16,-105.9221962094,39.678211443,3760.0,,4.0,11.0,1.8,7.2,,,Chalciporus piperatus,"Dillon, CO 80435, USA",1,
9c220c4f-7ba8-4618-9e12-aa0914155909,391207804,2026-08-14 10:17:05-06:00,2026-08-14,-107.8258041997,37.8550702,2981.0,,10.0,19.0,4.5,2.8,,,Chalciporus piperatus,"Ophir, CO 81426, USA",1,
e80958f6-ca18-4a1f-9c68-1c5f3b1a1230,387325272,2026-08-01 12:06:42-06:00,2026-08-01,-105.5278027778,36.1319805556,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Chalciporus piperatus,"Vadito, NM 87579, USA",1,
38d48b90-83e9-4bbe-bb1a-74427ed3effc,384374835,2026-07-23 15:46:00-06:00,2026-07-23,-105.9547850065,35.7307191199,2203.0,,17.2,31.7,1.0,6.9,,,Chalciporus piperatus,"New Mexico, US",2,
33b71761-3f1c-44d8-b774-cc6e2f54226e,310388278,2025-08-30 13:44:49-06:00,2025-08-30,-106.4386283333,36.0220971667,3255.0,,15.0,26.0,1.4,9.5,,1025.5,Chalciporus piperatus,"Hernandez, NM, US",1,
e15c2677-08a6-4561-8371-22aa3eb80b3f,238490023,2024-08-27 15:19:00-06:00,2024-08-27,-105.5910583333,39.9849777778,3069.0,,,,,7.7,,,Chalciporus piperatus,"Boulder County, CO, USA",1,
7d777ba6-0b43-4c64-b676-45362f218e15,237233862,2024-08-21 13:49:47-06:00,2024-08-21,-107.6395716667,39.0854083333,3028.0,,9.2,19.0,12.2,11.8,,1019.6,Chalciporus piperatus,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",1,
208d016c-057c-4e32-a141-05be62c752b4,235705360,2024-08-12 15:24:46-06:00,2024-08-12,-105.3915333333,36.2210366667,3287.0,,6.6,25.5,2.7,7.2,,1030.6,Chalciporus piperatus,"Carson National Forest, Chacon, NM, US",1,
87d2e727-d133-48b5-a03f-1aed9ea2b03f,231027380,2024-07-22 09:46:39-06:00,2024-07-22,-105.6808972222,38.020725,2706.0,,9.0,22.0,2.1,9.3,,1021.0,Chalciporus piperatus,"Silver Cliff, CO 81252, USA",1,
2713106d-b9bc-4473-ba22-fa6f70906b04,181129008,2023-08-31 16:02:55-06:00,2023-08-31,-105.64892,39.9006616667,2843.0,,3.4,15.8,0.6,12.1,,1016.6,Chalciporus piperatus,"S Boulder Creek, Black Hawk, CO, US",2,
f0ea53e1-b638-49b6-b528-6956ed6b8733,177461538,2023-08-08 16:04:42-06:00,2023-08-08,-105.4571533333,39.690605,2682.0,,-0.4,13.3,0.5,15.9,,1017.2,Chalciporus piperatus,"Idaho Springs, CO, US",1,
b71cdf3c-2296-421c-9666-c96bd13ec457,176909531,2023-08-05 14:45:01-06:00,2023-08-05,-105.32727805,39.5855169856,2491.0,,17.0,31.0,1.1,14.2,,1023.1,Chalciporus piperatus,"Colorado, US",1,
1be7d97c-78ed-49d2-a80a-c7f0aee2bdf0,133178550,2022-08-28 10:50:23-06:00,2022-08-28,-106.2584133333,41.3567783333,3215.0,,16.0,26.0,0.0,30.1,,1016.6,Chalciporus piperatus,"Medicine Bow-Routt National Forest & Thunder Basin National Grassland, Centennial, WY, US",1,
ca742364-5222-4df8-a2bc-f63d3e6fba6c,132949588,2022-08-09 14:13:00-06:00,2022-08-09,-107.936255555,37.7963861117,3066.0,,12.0,26.0,0.0,5.6,,1034.0,Chalciporus piperatus,"Dolores, Colorado, United States",1,
f7d0eab6-0513-4e9c-ae78-1c3cd34653d3,97106037,2021-09-15 10:25:33-07:00,2021-09-15,-107.54387,37.7131283333,3824.0,,8.0,23.0,0.0,10.4,,1028.2,Chalciporus piperatus,"San Juan National Forest, CO, US",1,
e4db37b9-c5c0-493a-a732-636813057a0e,7002533,2016-08-13,2016-08-13,-107.4425,37.47905,2492.0,,8.3,25.6,0.0,9.0,,1017.2,Chalciporus piperatus,"Pine River Trail, Weminuche Wilderness, Colorado, USA",1,
537c0cd5-ea00-4a35-b2ea-582c1a06b799,4042530,2016-09-05 14:48:20-06:00,2016-09-05,-106.0647913256,39.4825506304,3020.0,,0.6,19.4,0.0,11.3,,1007.8,Chalciporus piperatus,"Breckenridge Ski Area, Breckenridge, CO, US",1,
45b73c3b-b0db-4e9c-805f-c349f2579347,324378693,2025-10-31 14:12:00-07:00,2025-10-31,-122.2325724683,45.311674603,386.0,,9.0,14.0,0.3,26.1,,1018.8,Chalciporus piperatus,"Clackamas County, OR, USA",1,
6e9444f8-111e-4410-9ac9-5c5ddddd6a72,322519687,2025-09-18 09:04:00-07:00,2025-09-18,-121.7566619926,45.3145627011,1261.0,,11.0,25.0,0.0,2.1,,1014.3,Chalciporus piperatus,"Oregon, US",1,
