uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
3e518a76-0173-4e93-913c-506080bf292e,391964538,2026-08-16 14:51:17-06:00,2026-08-16,-107.9000727861,37.8077500196,3175.0,,8.0,23.0,0.0,5.0,,,Hypholoma capnoides,"San Miguel County, US-CO, US",1
393b5d0e-723f-463a-8988-33de60596843,319057858,2025-10-05 11:06:41-06:00,2025-10-05,-105.5846862793,39.9844322205,3031.0,,-6.7,3.0,6.8,15.6,,1014.3,Hypholoma capnoides,"Boulder County, US-CO, US",2
e784ad43-6a12-4a75-a633-e3fc15fd3018,314331514,2025-09-14 13:13:36-06:00,2025-09-14,-107.0557416015,38.8600711404,3011.0,,3.0,19.0,0.0,7.3,,1024.4,Hypholoma capnoides,"Gunnison County, US-CO, US",2
b961ed6f-17fc-491a-ad48-a31b2fd7cb4a,311715306,2025-08-31 10:20:00-06:00,2025-08-31,-107.9814013784,39.0423624168,3129.0,,11.0,33.0,0.0,8.2,,1025.0,Hypholoma capnoides,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1
d32924f4-b2be-4d20-8767-f97a9717c053,311362448,2025-09-01,2025-08-31,-107.9810561612,39.0414716825,3152.0,,11.0,33.0,0.0,8.2,,1025.0,Hypholoma capnoides,"Cedaredge, CO 81413, USA",1
43cfc999-2546-418a-b659-42b37e880ff8,311169850,2025-08-31 09:55:45-06:00,2025-08-31,-107.9811095059,39.0426399572,3132.0,,11.0,33.0,0.0,8.2,,1025.0,Hypholoma capnoides,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1
74e29419-aeb6-4f3a-a489-a890d709b45e,306625986,2025-08-12 13:20:00-06:00,2025-08-12,-107.873825,37.8108,3077.0,,10.0,24.0,0.0,6.7,,1031.4,Hypholoma capnoides,"San Miguel, Colorado, United States",2
b6067e86-578a-4a2c-ad6f-215b434c3713,306117304,2025-08-13 09:51:00-06:00,2025-08-13,-107.8728027778,37.8111305556,3040.0,,13.0,26.0,0.0,8.0,,1031.2,Hypholoma capnoides,"San Miguel County, CO, USA",4
c0bf0d61-7872-4887-af57-1f990b8bb328,306010346,2025-08-12 15:16:00-06:00,2025-08-12,-107.88788611,37.81425,3130.0,,10.0,24.0,0.0,6.7,,1031.4,Hypholoma capnoides,"San Miguel, Colorado, United States",2
0f3c7429-5a75-4c59-979e-2e8fb0657dae,305809536,2025-08-10 13:30:10-06:00,2025-08-10,-107.8887083333,39.0298944444,3173.0,,19.0,32.6,0.0,11.3,,1019.8,Hypholoma capnoides,"Cedaredge, CO 81413, USA",2
933f9b70-2a20-4fa4-8dac-2f7f8b99291a,302003044,2025-07-28 18:06:02-06:00,2025-07-28,-107.6226017879,38.9453266265,2503.0,,13.5,39.4,0.0,7.7,,1023.5,Hypholoma capnoides,"Paonia, CO, US",1
6ba5ab91-99a5-4241-8901-88a2c4a92b38,244428955,2024-09-11 10:46:37-06:00,2024-09-11,-107.2890139722,39.9883769722,2885.0,,7.8,25.0,0.3,8.6,,1009.6,Hypholoma capnoides,"Garfield County, US-CO, US",1
37adfe1b-62eb-4fcd-9053-457cd736fdbc,243228162,2024-09-21 14:59:39-06:00,2024-09-21,-106.1287388333,39.6304283333,2940.0,,2.0,15.0,3.9,21.9,,1029.8,Hypholoma capnoides,"White River National Forest, Silverthorne, CO, US",1
3e6a2cef-d7f0-4700-9fa8-ca816ea5b4c7,237371765,2024-08-13 17:53:21-06:00,2024-08-13,-107.8542644474,37.887684094,3327.0,,10.0,18.0,15.2,7.5,,1031.3,Hypholoma capnoides,"San Miguel County, US-CO, US",1
04ca46a7-b6d3-4bdd-98d6-700a42522c2e,236839144,2024-08-15 08:42:49-06:00,2024-08-15,-107.83365,37.9241666667,3225.0,,9.0,23.0,0.0,9.0,,1032.8,Hypholoma capnoides,"Telluride Ski Resort, Telluride, CO, US",1
27a42a93-e090-4da9-8f85-28a7ead5bbbf,236642837,2024-08-18 12:23:30-06:00,2024-08-18,-105.6322033333,36.0018277833,3371.0,,,,,,,,Hypholoma capnoides,"Carson National Forest, Cordova, NM, US",1
d5daffce-5634-4911-b30c-5132d8c7d2e4,236400302,2024-08-17 13:12:56-06:00,2024-08-17,-107.8585666667,37.8799783333,3275.0,,12.0,23.0,4.9,9.4,,1034.5,Hypholoma capnoides,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",3
b54c43d1-b917-4192-b19b-46ba58dba492,236366993,2024-08-16 10:40:55-06:00,2024-08-16,-107.8883444858,37.8609868332,2905.0,,12.0,25.0,0.0,11.9,,1033.2,Hypholoma capnoides,"Colorado, US",1
729d85dd-064f-4cf2-af79-9a2bdaec696e,236334315,2024-08-17 12:24:39-06:00,2024-08-17,-107.831325345,37.9213939419,3264.0,,12.0,23.0,4.9,9.4,,1034.5,Hypholoma capnoides,"Telluride Ski Resort, Telluride, CO, US",1
2d7adc9f-118e-448f-823f-cf1989d9bc66,236208791,2024-08-16 08:06:23-06:00,2024-08-16,-107.8337472222,37.9238138889,3225.0,,12.0,25.0,0.0,11.9,,1033.2,Hypholoma capnoides,"Mountain Village, CO 81435, USA",1
4f3d491b-df0c-40d2-9fd5-35c544f9bf9b,235912639,2024-08-13 07:12:56-06:00,2024-08-13,-106.0721138333,39.4218966667,3373.0,,8.3,18.3,6.9,8.8,,1013.9,Hypholoma capnoides,"White River National Forest, Breckenridge, CO, US",1
784d7e8e-fd8a-4344-a65f-bc51775eee14,235426677,2024-08-12 11:48:42-06:00,2024-08-12,-106.72181072,37.47114109,3110.0,,5.0,13.0,4.0,11.7,,1039.4,Hypholoma capnoides,"Mineral County, US-CO, US",3
65c0ce24-1679-48cb-b8fd-1e57f5d50a18,235409179,2024-08-11 07:10:47-06:00,2024-08-11,-107.7766583333,37.8074833333,3025.0,,12.0,22.0,7.8,7.3,,1033.8,Hypholoma capnoides,"San Juan National Forest - Headquarters, Silverton, CO, US",1
00b3d6d4-39e1-402e-adec-97241ad7692a,182344077,2023-09-02 16:40:57-06:00,2023-09-02,-106.1985116364,39.6490787404,3604.0,,12.0,20.0,5.3,12.5,,1040.4,Hypholoma capnoides,"Summit County, US-CO, US",2
a98dc806-ff31-4e69-97cd-d9d6f0d4ab6b,180876028,2023-08-29 17:06:22-06:00,2023-08-29,-105.8295156524,39.4142194639,3022.0,,0.8,13.6,0.0,9.7,,1025.3,Hypholoma capnoides,"Colorado, US",2
ecd89967-bd77-4354-a257-98c6e27faa9a,179220921,2023-08-19 11:56:27-06:00,2023-08-19,-107.8513716667,37.885855,3377.0,,12.0,26.0,2.4,9.5,,1031.9,Hypholoma capnoides,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
be39c9b1-eab9-499c-b357-b02733807c65,178916211,2023-08-16 15:05:16-06:00,2023-08-16,-107.8531131009,37.8827343342,3367.0,,12.0,26.0,7.0,6.9,,1034.9,Hypholoma capnoides,"San Miguel County, US-CO, US",3
02a9131b-8cc1-4cee-942f-d391e251d239,178801542,2023-08-16 14:51:17-06:00,2023-08-16,-107.9553688366,37.8863276305,3067.0,,12.0,26.0,7.0,6.9,,1034.9,Hypholoma capnoides,"Colorado, US",1
d7778274-a6c7-4699-843f-b80be5a9ebad,136880898,2021-08-06 10:03:26-06:00,2021-08-06,-107.2867811099,40.6003173298,1981.0,,13.9,30.6,,22.2,,1011.4,Hypholoma capnoides,"Hayden, CO 81639, USA",1
71b80ff3-b8f4-4f30-b587-d90e5ad06d15,131222634,2022-08-17 09:56:58-06:00,2022-08-17,-107.8384383333,37.94343,2659.0,,11.0,18.0,5.0,4.6,,1033.1,Hypholoma capnoides,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",3
1c344bbe-a595-4e0d-8b25-341cda935894,3977901,2016-08-26 10:24:37-06:00,2016-08-26,-105.439475,36.57548,3128.0,,,,,8.1,,,Hypholoma capnoides,"Carson National Forest, Valdez, NM, US",2
